MOVIES,RELEASE_DATES,RATINGS,REVIEWS,WEIGHTED_AVERAGE
"""The Shawshank Redemption""",1994,9.2,2745434,1098179.12
"""The Godfather""",1972,9.2,1909262,763710.32
"""The Dark Knight""",2008,9,2718048,1087224.6
"""The Godfather Part II""",1974,9,1300840,520341.4
"""12 Angry Men""",1957,9,812789,325121
"""Schindler's List""",1993,8.9,1385036,554019.74
"""The Lord of the Rings: The Return of the King""",2003,8.9,1886968,754792.54
"""Pulp Fiction""",1994,8.8,2109629,843856.88
"""The Lord of the Rings: The Fellowship of the Ring""",2001,8.8,1915642,766262.08
"""Il buono, il brutto, il cattivo""",1966,8.8,777177,310876.08
"""Forrest Gump""",1994,8.8,2135956,854387.68
"""Fight Club""",1999,8.7,2186183,874478.42
"""The Lord of the Rings: The Two Towers""",2002,8.7,1703197,681284.02
"""Inception""",2010,8.7,2412823,965134.42
"""Star Wars: Episode V - The Empire Strikes Back""",1980,8.7,1320992,528402.02
"""The Matrix""",1999,8.7,1957660,783069.22
"""GoodFellas""",1990,8.7,1191489,476600.82
"""One Flew Over the Cuckoo's Nest""",1975,8.6,1028695,411483.16
"""Se7en""",1995,8.6,1697502,679005.96
"""It's a Wonderful Life""",1946,8.6,472076,188835.56
"""Shichinin no samurai""",1954,8.6,352802,141125.96
"""The Silence of the Lambs""",1991,8.6,1467436,586979.56
"""Saving Private Ryan""",1998,8.6,1423272,569313.96
"""Cidade de Deus""",2002,8.6,770852,308345.96
"""Interstellar""",2014,8.6,1910155,764067.16
"""La vita è bella""",1997,8.6,711075,284435.16
"""The Green Mile""",1999,8.6,1334985,533999.16
"""Star Wars""",1977,8.5,1393472,557393.9
"""Terminator 2: Judgment Day""",1991,8.5,1122949,449184.7
"""Back to the Future""",1985,8.5,1238596,495443.5
"""Sen to Chihiro no kamikakushi""",2001,8.5,789675,315875.1
"""The Pianist""",2002,8.5,856027,342415.9
"""Psycho""",1960,8.5,687647,275063.9
"""Gisaengchung""",2019,8.5,854568,341832.3
"""Léon""",1994,8.5,1189269,475712.7
"""Gladiator""",2000,8.5,1536026,614415.5
"""The Lion King""",1994,8.5,1085109,434048.7
"""American History X""",1998,8.5,1143266,457311.5
"""The Departed""",2006,8.5,1356135,542459.1
"""Whiplash""",2014,8.5,904419,361772.7
"""The Prestige""",2006,8.5,1364383,545758.3
"""The Usual Suspects""",1995,8.5,1104391,441761.5
"""Casablanca""",1942,8.5,583455,233387.1
"""Hotaru no haka""",1988,8.5,287347,114943.9
"""Seppuku""",1962,8.5,60967,24391.9
"""The Intouchables""",2011,8.5,881562,352629.9
"""Modern Times""",1936,8.4,248318,99332.24
"""Once Upon a Time in the West""",1968,8.4,337147,134863.84
"""Nuovo Cinema Paradiso""",1988,8.4,268449,107384.64
"""Rear Window""",1954,8.4,501892,200761.84
"""Alien""",1979,8.4,903238,361300.24
"""City Lights""",1931,8.4,188531,75417.44
"""Apocalypse Now""",1979,8.4,682164,272870.64
"""Memento""",2000,8.4,1263492,505401.84
"""Django Unchained""",2012,8.4,1599231,639697.44
"""Raiders of the Lost Ark""",1981,8.4,986107,394447.84
"""WALL·E""",2008,8.4,1142691,457081.44
"""The Lives of Others""",2006,8.4,396636,158659.44
"""Sunset Blvd.""",1950,8.4,226854,90746.64
"""Paths of Glory""",1957,8.4,202211,80889.44
"""The Shining""",1980,8.4,1049075,419635.04
"""The Great Dictator""",1940,8.4,228718,91492.24
"""Avengers: Infinity War""",2018,8.4,1123200,449285.04
"""Witness for the Prosecution""",1957,8.4,129526,51815.44
"""Spider-Man: Into the Spider-Verse""",2018,8.3,565015,226010.98
"""Aliens""",1986,8.3,732465,292990.98
"""American Beauty""",1999,8.3,1173501,469405.38
"""Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb""",1964,8.3,500372,200153.78
"""The Dark Knight Rises""",2012,8.3,1741415,696570.98
"""Inglourious Basterds""",2009,8.3,1491782,596717.78
"""Oldeuboi""",2003,8.3,596311,238529.38
"""Amadeus""",1984,8.3,409711,163889.38
"""Coco""",2017,8.3,533945,213582.98
"""Toy Story""",1995,8.3,1018010,407208.98
"""Braveheart""",1995,8.3,1055674,422274.58
"""Das Boot""",1981,8.3,255611,102249.38
"""Joker""",2019,8.3,1354167,541671.78
"""Avengers: Endgame""",2019,8.3,1179819,471932.58
"""Mononoke-hime""",1997,8.3,406705,162686.98
"""Good Will Hunting""",1997,8.3,1003738,401500.18
"""Once Upon a Time in America""",1984,8.3,360312,144129.78
"""Kimi no na wa.""",2016,8.3,286765,114710.98
"""3 Idiots""",2009,8.3,410786,164319.38
"""Singin' in the Rain""",1952,8.3,248935,99578.98
"""Tengoku to jigoku""",1963,8.3,47804,19126.58
"""Requiem for a Dream""",2000,8.3,861634,344658.58
"""Toy Story 3""",2010,8.3,854944,341982.58
"""Capharnaüm""",2018,8.3,95240,38100.98
"""Star Wars: Episode VI - Return of the Jedi""",1983,8.3,1077509,431008.58
"""2001: A Space Odyssey""",1968,8.3,685372,274153.78
"""Eternal Sunshine of the Spotless Mind""",2004,8.3,1031250,412504.98
"""Idi i smotri""",1985,8.3,85893,34362.18
"""Jagten""",2012,8.3,341452,136585.78
"""Reservoir Dogs""",1992,8.3,1042822,417133.78
"""Lawrence of Arabia""",1962,8.2,301099,120444.52
"""Citizen Kane""",1941,8.2,450627,180255.72
"""M - Eine Stadt sucht einen Mörder""",1931,8.2,161672,64673.72
"""Ikiru""",1952,8.2,81808,32728.12
"""North by Northwest""",1959,8.2,334583,133838.12
"""The Apartment""",1960,8.2,186576,74635.32
"""Vertigo""",1958,8.2,410863,164350.12
"""Le fabuleux destin d'Amélie Poulain""",2001,8.2,769633,307858.12
"""Double Indemnity""",1944,8.2,160825,64334.92
"""A Clockwork Orange""",1971,8.2,847846,339143.32
"""Full Metal Jacket""",1987,8.2,758704,303486.52
"""Scarface""",1983,8.2,866052,346425.72
"""Incendies""",2010,8.2,184029,73616.52
"""Hamilton""",2020,8.2,101419,40572.52
"""Heat""",1995,8.2,676033,270418.12
"""Up""",2009,8.2,1069303,427726.12
"""To Kill a Mockingbird""",1962,8.2,322193,128882.12
"""The Sting""",1973,8.2,269567,107831.72
"""Jodaeiye Nader az Simin""",2011,8.2,249477,99795.72
"""Metropolis""",1927,8.2,178264,71310.52
"""Die Hard""",1988,8.2,901262,360509.72
"""L.A. Confidential""",1997,8.2,593147,237263.72
"""Indiana Jones and the Last Crusade""",1989,8.2,771018,308412.12
"""Taxi Driver""",1976,8.2,863962,345589.72
"""Snatch""",2000,8.2,873994,349602.52
"""Ladri di biciclette""",1948,8.2,167545,67022.92
"""Taare Zameen Par""",2007,8.2,197989,79200.52
"""1917""",2019,8.2,620870,248352.92
"""Top Gun: Maverick""",2022,8.2,589237,235699.72
"""Der Untergang""",2004,8.2,362338,144940.12
"""Dangal""",2016,8.2,197288,78920.12
"""Per qualche dollaro in più""",1965,8.2,262772,105113.72
"""Batman Begins""",2005,8.2,1503123,601254.12
"""The Kid""",1921,8.2,129292,51721.72
"""Some Like It Hot""",1959,8.2,273139,109260.52
"""The Father""",2020,8.2,168687,67479.72
"""The Wolf of Wall Street""",2013,8.2,1462927,585175.72
"""All About Eve""",1950,8.2,134050,53624.92
"""Green Book""",2018,8.2,519078,207636.12
"""Judgment at Nuremberg""",1961,8.2,79946,31983.32
"""Ran""",1985,8.2,129134,51658.52
"""Casino""",1995,8.2,534690,213880.92
"""The Truman Show""",1998,8.2,1116969,446792.52
"""There Will Be Blood""",2007,8.2,602331,240937.32
"""Pan's Labyrinth""",2006,8.2,680935,272378.92
"""Unforgiven""",1992,8.2,420865,168350.92
"""Shutter Island""",2010,8.2,1360887,544359.72
"""The Sixth Sense""",1999,8.2,1010989,404400.52
"""Jurassic Park""",1993,8.2,1013789,405520.52
"""A Beautiful Mind""",2001,8.2,950325,380134.92
"""Yôjinbô""",1961,8.1,125854,50346.46
"""The Treasure of the Sierra Madre""",1948,8.1,127915,51170.86
"""Monty Python and the Holy Grail""",1975,8.1,551812,220729.66
"""No Country for Old Men""",2007,8.1,1001579,400636.46
"""Kill Bill: Vol. 1""",2003,8.1,1140704,456286.46
"""The Great Escape""",1963,8.1,249476,99795.26
"""Rashômon""",1950,8.1,172714,69090.46
"""The Thing""",1982,8.1,438551,175425.26
"""Finding Nemo""",2003,8.1,1066364,426550.46
"""Spider-Man: No Way Home""",2021,8.1,796859,318748.46
"""Guardians of the Galaxy Vol. 3""",2023,8.1,148536,59419.26
"""The Elephant Man""",1980,8.1,247884,99158.46
"""Chinatown""",1974,8.1,334693,133882.06
"""Raging Bull""",1980,8.1,363119,145252.46
"""V for Vendetta""",2005,8.1,1140692,456281.66
"""Gone with the Wind""",1939,8.1,322417,128971.66
"""Dial M for Murder""",1954,8.1,180577,72235.66
"""Lock, Stock and Two Smoking Barrels""",1998,8.1,595188,238080.06
"""Inside Out""",2015,8.1,736237,294499.66
"""Hauru no ugoku shiro""",2004,8.1,411835,164738.86
"""El secreto de sus ojos""",2009,8.1,214129,85656.46
"""Three Billboards Outside Ebbing, Missouri""",2017,8.1,526031,210417.26
"""Trainspotting""",1996,8.1,701072,280433.66
"""Prisoners""",2013,8.1,745733,298298.06
"""The Bridge on the River Kwai""",1957,8.1,225633,90258.06
"""Fargo""",1996,8.1,692710,277088.86
"""Warrior""",2011,8.1,481777,192715.66
"""Gran Torino""",2008,8.1,789544,315822.46
"""Catch Me If You Can""",2002,8.1,1021166,408471.26
"""Tonari no Totoro""",1988,8.1,352644,141062.46
"""Million Dollar Baby""",2004,8.1,699954,279986.46
"""Children of Heaven""",1997,8.1,76692,30681.66
"""Blade Runner""",1982,8.1,787847,315143.66
"""The Gold Rush""",1925,8.1,113894,45562.46
"""Klaus""",2019,8.1,166129,66456.46
"""Harry Potter and the Deathly Hallows: Part 2""",2011,8.1,900458,360188.06
"""Before Sunrise""",1995,8.1,320363,128150.06
"""12 Years a Slave""",2013,8.1,715704,286286.46
"""The Grand Budapest Hotel""",2014,8.1,838557,335427.66
"""Ben-Hur""",1959,8.1,245132,98057.66
"""On the Waterfront""",1954,8.1,158499,63404.46
"""Gone Girl""",2014,8.1,1008567,403431.66
"""The General""",1926,8.1,93881,37557.26
"""Barry Lyndon""",1975,8.1,173740,69500.86
"""Smultronstället""",1957,8.1,109990,44000.86
"""In the Name of the Father""",1993,8.1,179844,71942.46
"""The Deer Hunter""",1978,8.1,346698,138684.06
"""Hacksaw Ridge""",2016,8.1,549656,219867.26
"""The Third Man""",1949,8.1,175360,70148.86
"""Salinui chueok""",2003,8.1,195787,78319.66
"""Le salaire de la peur""",1953,8.1,63161,25269.26
"""Sherlock Jr.""",1924,8.1,52447,20983.66
"""Relatos salvajes""",2014,8.1,205292,82121.66
"""Mr. Smith Goes to Washington""",1939,8.1,117611,47049.26
"""Mad Max: Fury Road""",2015,8.1,1030033,412018.06
"""Mary and Max.""",2009,8.1,180788,72320.06
"""Monsters, Inc.""",2001,8.1,931955,372786.86
"""Dead Poets Society""",1989,8.1,509779,203916.46
"""How to Train Your Dragon""",2010,8.1,761170,304472.86
"""Det sjunde inseglet""",1957,8.1,189877,75955.66
"""Jaws""",1975,8.1,623915,249570.86
"""Room""",2015,8.1,431730,172696.86
"""The Big Lebowski""",1998,8.1,827134,330858.46
"""Tôkyô monogatari""",1953,8.1,64093,25642.06
"""Ford v Ferrari""",2019,8.1,418662,167469.66
"""La passion de Jeanne d'Arc""",1928,8.1,57286,22919.26
"""Hotel Rwanda""",2004,8,361875,144754.8
"""Rocky""",1976,8,598242,239301.6
"""Ratatouille""",2007,8,766160,306468.8
"""Platoon""",1986,8,423256,169307.2
"""Logan""",2017,8,787356,314947.2
"""Spotlight""",2015,8,482148,192864
"""The Terminator""",1984,8,885329,354136.4
"""Stand by Me""",1986,8,417402,166965.6
"""Rush""",2013,8,491070,196432.8
"""Before Sunset""",2004,8,273868,109552
"""Network""",1976,8,163490,65400.8
"""The Wizard of Oz""",1939,8,410369,164152.4
"""Into the Wild""",2007,8,635089,254040.4
"""The Best Years of Our Lives""",1946,8,67099,26844.4
"""The Exorcist""",1973,8,421220,168492.8
"""Groundhog Day""",1993,8,650477,260195.6
"""La haine""",1995,8,181425,72574.8
"""The Incredibles""",2004,8,761306,304527.2
"""To Be or Not to Be""",1942,8,39645,15862.8
"""Pirates of the Caribbean: The Curse of the Black Pearl""",2003,8,1153506,461407.2
"""Hachi: A Dog's Tale""",2009,8,294894,117962.4
"""Jai Bhim""",2021,8,206793,82722
"""The Grapes of Wrath""",1940,8,96130,38456.8
"""La battaglia di Algeri""",1966,8,62414,24970.4
"""Pather Panchali""",1955,8,35010,14008.8
"""Amores perros""",2000,8,245382,98157.6
"""Babam ve Oglum""",2005,8,88186,35279.2
"""Ah-ga-ssi""",2016,8,156967,62791.6
"""Rebecca""",1940,8,140785,56318.8
"""Cool Hand Luke""",1967,8,181719,72692.4
"""The Sound of Music""",1965,8,244562,97829.6
"""Les quatre cents coups""",1959,8,122121,48853.2
"""It Happened One Night""",1934,8,107274,42914.4
"""Persona""",1966,8,123608,49448
"""Life of Brian""",1979,8,408850,163544.8
"""The Iron Giant""",1999,8,209035,83618.8
"""The Help""",2011,8,472423,188974
"""Aladdin""",1992,8,436739,174700.4
"""Dances with Wolves""",1990,8,276504,110606.4
"""Dersu Uzala""",1975,8,31875,12754.8
